"ID","GameTitle","ReleaseDate","Platform"
"2365","Pokémon Emerald","09/16/2004","Nintendo Game Boy Advance"
"2363","Pokémon Ruby","11/21/2002","Nintendo Game Boy Advance"
"2364","Pokémon Sapphire","11/21/2002","Nintendo Game Boy Advance"
"47909","Pokémon Volume 3","","Nintendo Game Boy Advance"
"47908","Pokémon Volume 2","","Nintendo Game Boy Advance"
"47910","Pokémon Volume 4","","Nintendo Game Boy Advance"
"3490","Pokémon Fire Red","01/29/2004","Nintendo Game Boy Advance"
"47907","Pokémon Volume 1","","Nintendo Game Boy Advance"
"2314","Pokémon Leaf Green","01/29/2004","Nintendo Game Boy Advance"
"3533","Pokémon Pinball Ruby & Sapphire","08/26/2003","Nintendo Game Boy Advance"
"2372","Pokémon Mystery Dungeon: Red Rescue Team","09/18/2006","Nintendo Game Boy Advance"
