"ID","GameTitle","ReleaseDate","Platform"
"2361","Pokémon Silver","11/21/1999","Nintendo Game Boy Color"
"2362","Pokémon Crystal","12/14/2000","Nintendo Game Boy Color"
"2360","Pokémon Gold","11/21/1999","Nintendo Game Boy Color"
"2365","Pokémon Emerald","09/16/2004","Nintendo Game Boy Advance"
"2363","Pokémon Ruby","11/21/2002","Nintendo Game Boy Advance"
"41422","Pokémon Yellow","09/03/1999","Nintendo Game Boy Color"
"2364","Pokémon Sapphire","11/21/2002","Nintendo Game Boy Advance"
"8639","Pokémon Pinball","06/28/1999","Nintendo Game Boy Color"
"47909","Pokémon Volume 3","","Nintendo Game Boy Advance"
"19067","Pokémon Puzzle Challenge","12/04/2000","Nintendo Game Boy Color"
"47908","Pokémon Volume 2","","Nintendo Game Boy Advance"
"47910","Pokémon Volume 4","","Nintendo Game Boy Advance"
"2358","Pokémon Green Version","02/27/1996","Nintendo Game Boy"
"3490","Pokémon Fire Red","01/29/2004","Nintendo Game Boy Advance"
"2356","Pokémon Red Version","02/27/1996","Nintendo Game Boy"
"8640","Pokémon Trading Card Game","04/10/2000","Nintendo Game Boy Color"
"47907","Pokémon Volume 1","","Nintendo Game Boy Advance"
"2314","Pokémon Leaf Green","01/29/2004","Nintendo Game Boy Advance"
"2357","Pokémon Blue Version","10/15/1996","Nintendo Game Boy"
"3533","Pokémon Pinball Ruby & Sapphire","08/26/2003","Nintendo Game Boy Advance"
"2359","Pokémon Yellow Version: Special Pikachu Edition","09/12/1998","Nintendo Game Boy"
"2372","Pokémon Mystery Dungeon: Red Rescue Team","09/18/2006","Nintendo Game Boy Advance"
"35939","Pokémon Card GB2 Team Great Rocket is Here!","03/28/2001","Nintendo Game Boy Color"
