"ID","GameTitle","ReleaseDate","Platform"
"41158","Pokémon Sun","11/18/2016","Nintendo 3DS"
"41159","Pokémon Moon","11/18/2016","Nintendo 3DS"
"18079","Pokémon Y","10/12/2013","Nintendo 3DS"
"25651","Pokémon Shuffle","02/18/2015","Nintendo 3DS"
"18078","Pokémon X","10/12/2013","Nintendo 3DS"
"23586","Pokémon Omega Ruby","11/21/2014","Nintendo 3DS"
"42979","Pokémon Rumble World","04/29/2016","Nintendo 3DS"
"12725","Pokémon Rumble Blast","10/24/2011","Nintendo 3DS"
"23587","Pokémon Alpha Sapphire","11/21/2014","Nintendo 3DS"
"33562","Pokémon Super Mystery Dungeon","11/20/2015","Nintendo 3DS"
"21309","Pokémon Dream Radar","10/07/2012","Nintendo 3DS"
"29391","Pokémon Art Academy","10/24/2014","Nintendo 3DS"
"41160","Pokémon Sun & Moon Dual Pack","11/18/2016","Nintendo 3DS"
"40102","Pokémon Omega Ruby & Alpha Sapphire Dual Pack","11/28/2014","Nintendo 3DS"
"16398","Pokémon Mystery Dungeon: Gates to Infinity","03/24/2013","Nintendo 3DS"
