"ID","GameTitle","ReleaseDate","Platform"
"13455","Pokémon Ranger","10/30/2006","Nintendo DS"
"11395","Pokémon: Conquest","06/18/2012","Nintendo DS"
"20894","Pokémon Trozei!","03/06/2006","Nintendo DS"
"29195","Pokémon Dash","12/02/2004","Nintendo DS"
"2366","Pokémon Pearl Version","09/28/2006","Nintendo DS"
"1539","Pokémon Diamond Version","09/28/2006","Nintendo DS"
"19129","Pokémon Ranger: Guardian Signs","10/04/2010","Nintendo DS"
"13556","Pokémon Black Version 2","10/07/2012","Nintendo DS"
"2367","Pokémon Platinum Version","09/13/2008","Nintendo DS"
"13557","Pokémon White Version 2","10/07/2012","Nintendo DS"
"2368","Pokémon HeartGold Version","09/12/2009","Nintendo DS"
"2370","Pokémon Black Version","03/06/2011","Nintendo DS"
"2369","Pokémon SoulSilver Version","09/12/2009","Nintendo DS"
"2371","Pokémon White Version","03/06/2011","Nintendo DS"
"12501","Pokémon Ranger: Shadows of Almia","11/10/2008","Nintendo DS"
"2373","Pokémon Mystery Dungeon: Blue Rescue Team","09/18/2006","Nintendo DS"
"2374","Pokémon Mystery Dungeon: Explorers of Time","04/20/2008","Nintendo DS"
"21454","Pokémon Mystery Dungeon: Explorers of Sky","10/12/2009","Nintendo DS"
"2375","Pokémon Mystery Dungeon: Explorers of Darkness","04/20/2008","Nintendo DS"
