"24429","My Pokémon Ranch","","Nintendo Wii"
"29582","Pokémon 3D","","PC"
"23587","Pokémon Alpha Sapphire","11/21/2014","Nintendo 3DS"
"29391","Pokémon Art Academy","10/24/2014","Nintendo 3DS"
"26526","Pokémon: Battle Revolution","06/25/2007","Nintendo Wii"
"2370","Pokémon Black Version","03/06/2011","Nintendo DS"
"13556","Pokémon Black Version 2","10/07/2012","Nintendo DS"
"2357","Pokémon Blue Version","10/15/1996","Nintendo Game Boy"
"29809","Pokémon Box Ruby and Sapphire","07/12/2004","Nintendo GameCube"
"37726","Pokémon Breeder Mini","12/14/2002","Nintendo Pokémon Mini"
"35939","Pokémon Card GB2 Team Great Rocket is Here!","03/28/2001","Nintendo Game Boy Color"
"35939","Pokémon Card GB2 Team Great Rocket is Here!","03/28/2001","Nintendo Game Boy Color"
"7027","Pokémon Channel","12/01/2003","Nintendo GameCube"
"7028","Pokémon Colosseum","03/22/2004","Nintendo GameCube"
"38926","Pokémon Colosseum Bonus Disc","03/22/2004","Nintendo GameCube"
"11395","Pokémon: Conquest","06/18/2012","Nintendo DS"
"43176","Pokémon Crazy Drummer","01/01/2003","Sega Genesis"
"2362","Pokémon Crystal","12/14/2000","Nintendo Game Boy Color"
"2362","Pokémon Crystal","12/14/2000","Nintendo Game Boy Color"
"29195","Pokémon Dash","12/02/2004","Nintendo DS"
"1539","Pokémon Diamond Version","09/28/2006","Nintendo DS"
"21309","Pokémon Dream Radar","10/07/2012","Nintendo 3DS"
"2365","Pokémon Emerald","09/16/2004","Nintendo Game Boy Advance"
"2365","Pokémon Emerald","09/16/2004","Nintendo Game Boy Advance"
"3490","Pokémon Fire Red","01/29/2004","Nintendo Game Boy Advance"
"3490","Pokémon Fire Red","01/29/2004","Nintendo Game Boy Advance"
"37528","Pokémon GO","07/28/2016","Android"
"37527","Pokémon GO","07/28/2016","iOS"
"2360","Pokémon Gold","11/21/1999","Nintendo Game Boy Color"
"2360","Pokémon Gold","11/21/1999","Nintendo Game Boy Color"
"2358","Pokémon Green Version","02/27/1996","Nintendo Game Boy"
"2368","Pokémon HeartGold Version","09/12/2009","Nintendo DS"
"2314","Pokémon Leaf Green","01/29/2004","Nintendo Game Boy Advance"
"2314","Pokémon Leaf Green","01/29/2004","Nintendo Game Boy Advance"
"41159","Pokémon Moon","11/18/2016","Nintendo 3DS"
"2373","Pokémon Mystery Dungeon: Blue Rescue Team","09/18/2006","Nintendo DS"
"2375","Pokémon Mystery Dungeon: Explorers of Darkness","04/20/2008","Nintendo DS"
"21454","Pokémon Mystery Dungeon: Explorers of Sky","10/12/2009","Nintendo DS"
"2374","Pokémon Mystery Dungeon: Explorers of Time","04/20/2008","Nintendo DS"
"16398","Pokémon Mystery Dungeon: Gates to Infinity","03/24/2013","Nintendo 3DS"
"2372","Pokémon Mystery Dungeon: Red Rescue Team","09/18/2006","Nintendo Game Boy Advance"
"2372","Pokémon Mystery Dungeon: Red Rescue Team","09/18/2006","Nintendo Game Boy Advance"
"23586","Pokémon Omega Ruby","11/21/2014","Nintendo 3DS"
"40102","Pokémon Omega Ruby & Alpha Sapphire Dual Pack","11/28/2014","Nintendo 3DS"
"37718","Pokémon Party Mini","11/16/2001","Nintendo Pokémon Mini"
"2366","Pokémon Pearl Version","09/28/2006","Nintendo DS"
"8639","Pokémon Pinball","06/28/1999","Nintendo Game Boy Color"
"8639","Pokémon Pinball","06/28/1999","Nintendo Game Boy Color"
"37723","Pokémon Pinball Mini","11/16/2001","Nintendo Pokémon Mini"
"3533","Pokémon Pinball Ruby & Sapphire","08/26/2003","Nintendo Game Boy Advance"
"3533","Pokémon Pinball Ruby & Sapphire","08/26/2003","Nintendo Game Boy Advance"
"2367","Pokémon Platinum Version","09/13/2008","Nintendo DS"
"19067","Pokémon Puzzle Challenge","12/04/2000","Nintendo Game Boy Color"
"19067","Pokémon Puzzle Challenge","12/04/2000","Nintendo Game Boy Color"
"37719","Pokémon Puzzle Collection","11/16/2001","Nintendo Pokémon Mini"
"37733","Pokémon Puzzle Collection Vol. 2","04/26/2002","Nintendo Pokémon Mini"
"1181","Pokémon Puzzle League","09/01/2000","Nintendo 64"
"37721","Pokémon Race Mini","07/19/2002","Nintendo Pokémon Mini"
"13455","Pokémon Ranger","10/30/2006","Nintendo DS"
"19129","Pokémon Ranger: Guardian Signs","10/04/2010","Nintendo DS"
"12501","Pokémon Ranger: Shadows of Almia","11/10/2008","Nintendo DS"
"2356","Pokémon Red Version","02/27/1996","Nintendo Game Boy"
"2363","Pokémon Ruby","11/21/2002","Nintendo Game Boy Advance"
"2363","Pokémon Ruby","11/21/2002","Nintendo Game Boy Advance"
"12725","Pokémon Rumble Blast","10/24/2011","Nintendo 3DS"
"24441","Pokémon Rumble","","Nintendo Wii"
"42979","Pokémon Rumble World","04/29/2016","Nintendo 3DS"
"2364","Pokémon Sapphire","11/21/2002","Nintendo Game Boy Advance"
"2364","Pokémon Sapphire","11/21/2002","Nintendo Game Boy Advance"
"25651","Pokémon Shuffle","02/18/2015","Nintendo 3DS"
"31669","Pokémon Shuffle Mobile","","Android"
"2361","Pokémon Silver","11/21/1999","Nintendo Game Boy Color"
"2361","Pokémon Silver","11/21/1999","Nintendo Game Boy Color"
"390","Pokémon Snap","06/30/1999","Nintendo 64"
"2369","Pokémon SoulSilver Version","09/12/2009","Nintendo DS"
"391","Pokémon Stadium","02/29/2000","Nintendo 64"
"392","Pokémon Stadium 2","03/28/2001","Nintendo 64"
"44192","Pokémon Stadium Kingin Crystal Version","","Nintendo 64"
"41158","Pokémon Sun","11/18/2016","Nintendo 3DS"
